CR|Sucursal|División|Zona
3571|D.F. NARVARTE|METROPOLITANA SUR|VIADUCTO
3577|SANTA CECILIA|METROPOLITANA NORTE|TLALNEPANTLA
3590|D.F. BODEGA AURRERA PLAZA CHURUBUSCO|METROPOLITANA SUR|BENITO JUAREZ
3600|PLAZA MOLIERE|METROPOLITANA NORTE|TOREO
3601|D.F. GUATEMALA|METROPOLITANA SUR|CENTRO
3602|D.F. METRO MOCTEZUMA|METROPOLITANA SUR|VENUSTIANO CARRANZA
3603|CIUDAD LABOR|METROPOLITANA NORTE|TULTITLAN
3604|D.F. MEGA COMERCIAL MIXCOAC|METROPOLITANA SUR|DEL VALLE
3606|PASEOS DE CHURUBUSCO|METROPOLITANA SUR|IZTAPALAPA
3608|D.F. DIVISION PACIFICO|METROPOLITANA SUR|COYOACAN
3635|PEMEX|METROPOLITANA NORTE|POLANCO
3639|LEYES DE REFORMA|METROPOLITANA SUR|IZTAPALAPA
3644|NEZA PALMAS|METROPOLITANA SUR|VENUSTIANO CARRANZA
3645|D.F. OCEANIA PEÑON|METROPOLITANA SUR|VENUSTIANO CARRANZA
3648|VIVEROS DE LA LOMA|METROPOLITANA NORTE|SATELITE
3651|ROBLES DOMINGUEZ|METROPOLITANA NORTE|VALLEJO
3658|D.F. COMERCIAL IZTAPALAPA|METROPOLITANA SUR|IZTAPALAPA
3661|D.F. OLIVAR DEL CONDE|METROPOLITANA SUR|INSURGENTES
3666|LOMAS INDEPENDENCIA|METROPOLITANA NORTE|INTERLOMAS
3667|ARBOLEDAS|METROPOLITANA NORTE|TLALNEPANTLA
3670|CASAS ALEMAN|METROPOLITANA NORTE|GUSTAVO A. MADERO
3671|PANTITLAN|METROPOLITANA SUR|VENUSTIANO CARRANZA
3672|SAN FELIPE DE JESUS|METROPOLITANA NORTE|GUSTAVO A. MADERO
3675|NEZA BENITO JUAREZ|METROPOLITANA SUR|NEZA
3681|D.F. SAN BERNABE|METROPOLITANA SUR|SAN ANGEL
3683|D.F. PARQUE SAN ANDRES|METROPOLITANA SUR|COYOACAN
3685|TULTITLAN|METROPOLITANA NORTE|TULTITLAN
3687|ATZACOALCO|METROPOLITANA NORTE|ECATEPEC
3689|CUAUTEPEC|METROPOLITANA NORTE|VALLEJO
3690|NEZA LAS AGUILAS|METROPOLITANA SUR|NEZA
3691|PROVIDENCIA ARAGON|METROPOLITANA NORTE|ECATEPEC
3694|NUEVA SANTA MARIA|METROPOLITANA NORTE|AZCAPOTZALCO
3697|D.F. MARTE|METROPOLITANA SUR|BENITO JUAREZ
3698|D.F. CONTRERAS CRUZ VERDE|METROPOLITANA SUR|SAN ANGEL
3700|D.F. AHORRO POSTAL|METROPOLITANA SUR|VIADUCTO
3702|FUENTES DEL VALLE|METROPOLITANA NORTE|TULTITLAN
3703|PLAZA ZARAGOZA|METROPOLITANA SUR|NEZA
3705|JARDINES DE MORELOS|METROPOLITANA NORTE|ECATEPEC
3708|GUSTAVO BAZ|METROPOLITANA NORTE|TOREO
3712|CANAL DEL NORTE|METROPOLITANA SUR|VENUSTIANO CARRANZA
3721|VALLE DE CHALCO|METROPOLITANA SUR|ORIENTE
3727|IBM LEGARIA|METROPOLITANA NORTE|INTERLOMAS
3728|D.F. PROCTER AND GAMBLE|METROPOLITANA NORTE|INTERLOMAS
3729|MODULO ADUANAL PANTACO|METROPOLITANA NORTE|VALLEJO
3736|PUEBLA LA LUZ|SUR|PUEBLA CENTRO
3740|PUEBLA ANIMAS VERGEL|SUR|PUEBLA SUR
3745|PUEBLA JUAN PABLO II|SUR|PUEBLA SUR
3749|PUEBLA LA PAZ|SUR|PUEBLA NORTE
3767|MONTERREY MADERO PONIENTE|NORESTE|MONTERREY NORTE
