SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
98536062|9853|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|27.467426  -109.913732
98546062|9854|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA TEMP|WINDOWS 10|100 200 200 500|NO INSTALADO|31.156859  -110.980422
98556062|9855|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|19.380942  -99.181209
98566062|9856|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.913379  -102.31364
98576062|9857|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|19.972816  -99.530174
98586062|9858|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||19.3039  -99.180215
98596062|9859|DUTY|STUPIFYN|EFECTIBANCO|TACTIL|BAJA DEF|UNIX|||19.343205  -99.126223
98606569|9860|DUTY|NINFUS 2000|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||19.2909  -99.7336
98616062|9861|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|25.647465  -100.352925
98625109|9862|DUTY|STUPIFY|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|25.678182  -100.449013
98636062|9863|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||19.4357  -99.0824
98645085|9864|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.806398  -104.216444
98650627|9865|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.682159  -103.455621
98665462|9866|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|20.289567  -103.192997
98675073|9867|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||17.969323  -92.968884
98686062|9868|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|18.912619  -99.167361
98694454|9869|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|28.656109  -106.091885
98706062|9870|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|20.1116077  -98.4188843
98716062|9871|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|26.050087  -98.278657
98726062|9872|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.0184421  -98.2444165
98736062|9873|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.20537  -98.8004
98746062|9874|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.123141  -98.783174
98750653|9875|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|30.527891  -115.931464
98760653|9876|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|30.527891  -115.931464
98776062|9877|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|20.9985458  -89.6460021
98786062|9878|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.601989  -99.191098
98796062|9879|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|28.725147  -106.122482
98800111|9880|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.346456  -99.188218
98816062|9881|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.705409  -103.415049
98826062|9882|DUTY|STUPIFYN|EFECTIBANCO|VALIDANDO|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|26.011801  -98.218467
98836062|9883|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|26.0369  -98.367
98846062|9884|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|NO INSTALADO|18.01904  -92.912075
98856062|9885|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.705409  -103.415049
98866062|9886|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 100 200 500|INSTALADO|25.696845  -100.319516
98875196|9887|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO BBVA|21.130984  -101.705371
98886062|9888|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|20.705409  -103.415049
98896062|9889|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|20.705409  -103.415049
98901474|9890|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|28.723358  -106.112967
98916062|9891|BIG|NIMBUS 2000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.6075013  -103.408668
98926062|9892|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.43906  -99.204467
98931474|9893|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|28.723358  -106.112967
98941474|9894|BIG|NIMBUS 6000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|28.723358  -106.112967
98956062|9895|HARD|DESCENDIO22|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.425244  -99.203378
98964455|9896|STRONG|LEVIOSA 868|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|28.627878  -106.025643
98976062|9897|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.3969285  -99.0902124
98986062|9898|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.56258  -99.3069
98996062|9899|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|NO INSTALADO|19.4736  -99.2213
99001281|9900|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO BBVA|19.401626  -99.170225
